Account No,,,Pin No,BALANCE AMT
409000611074',,,912348,492273
409000611074',,,706062,992273
409000611074',,,538578,1492273
409000611074',,,165338,1269473
409000611074',,,893315,1124023
409000611074',,,895592,942023
409000611074',,,376378,736948
409000611074',,,148941,566448
409000611074',,,363130,1066448
409000611074',,,111359,571196
409000611074',,,862200,314596
409000611074',,,441400,814596
409000611074',,,317599,1314596
409000611074',,,211953,1814596
409000611074',,,888418,2314596
409000611074',,,489922,2309596
409000611074',,,825515,1961396
409000611074',,,477606,1848496
409000611074',,,375564,1456245
409000611074',,,537995,1043945
409000611074',,,378551,525570
409000611074',,,380982,229120
409000611074',,,302682,729120
409000611074',,,814981,1229120
409000611074',,,806167,954520
409000611074',,,200721,794795
409000611074',,,596791,725795
409000611074',,,977068,481445
409000611074',,,142616,256645
409000611074',,,538804,756645
409000611074',,,850345,1256645
409000611074',,,578042,1756645
409000611074',,,397118,1621595
409000611074',,,412397,1590295
409000611074',,,819187,1569795
409000611074',,,619487,1564295
409000611074',,,883779,1359395
409000611074',,,726966,796145
409000611074',,,248213,589045
409000611074',,,308541,450795
409000611074',,,556860,254645
409000611074',,,395668,754645
409000611074',,,371507,1254645
409000611074',,,841258,1754645
409000611074',,,591602,1634970
409000611074',,,486160,1497195
409000611074',,,301522,1435695
409000611074',,,666237,1297345
409000611074',,,322584,1057945
409000611074',,,981847,1557945
409000611074',,,192163,2057945
409000611074',,,552195,1786821
409000611074',,,537687,1486022
409000611074',,,740076,1151122
409000611074',,,448964,1082872
409000611074',,,367764,775747
409000611074',,,316090,300447
409000611074',,,634952,800447
409000611074',,,301763,1300447
409000611074',,,546968,1800447
409000611074',,,632399,1206119
409000611074',,,896260,819019
409000611074',,,505025,1319019
409000611074',,,412812,608219
409000611074',,,813172,222819
409000611074',,,134715,722819
409000611074',,,354341,1222819
409000611074',,,370404,1143469
409000611074',,,920375,758269
409000611074',,,224341,458319
409000611074',,,374704,958319
409000611074',,,594454,1458319
409000611074',,,146161,1184819
409000611074',,,944123,947319
409000611074',,,898924,669566
409000611074',,,942388,599266
409000611074',,,964368,536866
409000611074',,,618709,1036866
409000611074',,,512709,1536866
409000611074',,,294521,1433566
409000611074',,,156909,1251116
409000611074',,,871824,1751116
409000611074',,,883230,2251116
409000611074',,,278151,2095616
409000611074',,,517690,1851266
409000611074',,,421800,1648467
409000611074',,,866045,1492967
409000611074',,,551284,1339667
409000611074',,,191695,989517
409000611074',,,432887,617617
409000611074',,,490035,271687
409000611074',,,893088,771687
409000611074',,,285825,1271687
409000611074',,,765749,880837
409000611074',,,998635,795037
409000611074',,,971454,750037
409000611074',,,501969,1250037
409000611074',,,470515,1750037
409000611074',,,220569,1172544
409000611074',,,911631,616320
409000611074',,,513770,1116320
409000611074',,,651065,1616320
409000611074',,,519676,1190620
409000611074',,,763056,977157
409000611074',,,898661,1477157
409000611074',,,992723,1277174
409000611074',,,326806,1046664
409000611074',,,354396,1036664
409000611074',,,231557,701414
409000611074',,,105100,1201414
409000611074',,,371209,1202734
409000611074',,,500034,1358234
409000611074',,,449559,1561033
409000611074',,,960110,1360234
409000611074',,,576890,925784
409000611074',,,674357,633609
409000611074',,,547791,1133609
409000611074',,,196929,1633609
409000611074',,,304450,1332409
409000611074',,,618135,1832409
409000611074',,,991001,1613434
409000611074',,,403477,1568634
409000611074',,,625496,1556634
409000611074',,,374794,1297484
409000611074',,,332092,1157834
409000611074',,,678365,993234
409000611074',,,654792,911559
409000611074',,,857715,825809
409000611074',,,555879,1325809
409000611074',,,293035,1825809
409000611074',,,287491,2325809
409000611074',,,607758,2174859
409000611074',,,816746,2154859
409000611074',,,823871,2128459
409000611074',,,739922,2018809
409000611074',,,641128,1700709
409000611074',,,348655,1391509
409000611074',,,197754,1087909
409000611074',,,170307,1039109
409000611074',,,488117,1539109
409000611074',,,946395,1233159
409000611074',,,221041,1733159
409000611074',,,227982,1570559
409000611074',,,487307,930859
409000611074',,,704406,1430859
409000611074',,,808596,1066959
409000611074',,,890308,1566959
409000611074',,,952394,2066959
409000611074',,,840724,1719009
409000611074',,,888140,1642109
409000611074',,,617777,1594109
409000611074',,,408006,1038459
409000611074',,,652987,1538459
409000611074',,,501647,964309
409000611074',,,381195,575759
409000611074',,,710451,1075759
409000611074',,,441526,799459
409000611074',,,507871,631868
409000611074',,,579575,1131868
409000611074',,,545360,1631868
409000611074',,,880589,1389168
409000611074',,,178743,1296268
409000611074',,,457650,980518
409000611074',,,450258,603218
409000611074',,,880860,1103218
409000611074',,,351047,1603218
409000611074',,,344316,1188942
409000611074',,,434164,837842
409000611074',,,770968,1337842
409000611074',,,147234,1837842
409000611074',,,436498,1607893
409000611074',,,706612,1447593
409000611074',,,350730,1371593
409000611074',,,256340,1311144
409000611074',,,831490,1052069
409000611074',,,102817,1552069
409000611074',,,991910,1345369
409000611074',,,354124,1845369
409000611074',,,326303,1608369
409000611074',,,523129,1336369
409000611074',,,844448,948620
409000611074',,,494549,847570
409000611074',,,973982,1347570
409000611074',,,112039,954670
409000611074',,,974520,664320
409000611074',,,156280,1164320
409000611074',,,197650,1664320
409000611074',,,691134,1298695
409000611074',,,451102,945845
409000611074',,,709638,1445845
409000611074',,,585361,1100096
409000611074',,,954526,874796
409000611074',,,728648,864796
409000611074',,,620309,1364796
409000611074',,,852075,541556
409000611074',,,916161,1041556
409000611074',,,629523,1541556
409000611074',,,731498,756507
409000611074',,,293011,1256507
409000611074',,,909080,853407
409000611074',,,775181,1353407
409000611074',,,210421,893607
409000611074',,,511328,1393607
409000611074',,,260980,1019757
409000611074',,,378599,754257
409000611074',,,496036,728557
409000611074',,,375089,1228557
409000611074',,,546800,852432
409000611074',,,203572,1352432
409000611074',,,429187,1087182
409000611074',,,635358,968082
409000611074',,,708384,1468082
409000611074',,,610047,1374732
409000611074',,,295830,1173732
409000611074',,,596999,1093257
409000611074',,,807418,1066057
409000611074',,,364450,1566057
409000611074',,,400949,1201957
409000611074',,,307548,860757
409000611074',,,969118,1360757
409000611074',,,711401,1126157
409000611074',,,247651,1626157
409000611074',,,886181,1548157
409000611074',,,145430,1194657
409000611074',,,166828,1694657
409000611074',,,512632,1291807
409000611074',,,571810,713057
409000611074',,,608286,461857
409000611074',,,814368,961857
409000611074',,,436136,1461857
409000611074',,,336381,1244782
409000611074',,,887034,753777
409000611074',,,685554,1253777
409000611074',,,915952,1753777
409000611074',,,648340,1127177
409000611074',,,421301,787103
409000611074',,,524333,762927
409000611074',,,632716,1262927
409000611074',,,177629,1762927
409000611074',,,841979,969676
409000611074',,,584393,1469676
409000611074',,,516536,751826
409000611074',,,982432,719826
409000611074',,,312228,1219826
409000611074',,,538412,2219826
409000611074',,,961758,1686026
409000611074',,,739758,1126296
409000611074',,,386263,2126296
409000611074',,,855593,2074046
409000611074',,,827874,1933296
409000611074',,,401502,1608096
409000611074',,,787257,2108096
409000611074',,,144044,1398896
409000611074',,,595634,1898896
409000611074',,,356761,1209246
409000611074',,,627993,1709246
409000611074',,,818194,1323046
409000611074',,,281785,888141
409000611074',,,745215,1888141
409000611074',,,719702,1882091
409000611074',,,857699,1767040
409000611074',,,113870,1524290
409000611074',,,206767,2024290
409000611074',,,342687,1762852
409000611074',,,901592,1234677
409000611074',,,111732,1734677
409000611074',,,440549,1732037
409000611074',,,892456,1387287
409000611074',,,551726,1385127
409000611074',,,863569,974946
409000611074',,,803286,1474946
409000611074',,,935066,1473626
409000611074',,,615779,1297576
409000611074',,,302540,1797576
409000611074',,,559001,1796616
409000611074',,,620291,1596366
409000611074',,,289202,1596246
409000611074',,,193821,1586246
409000611074',,,360198,1583966
409000611074',,,850486,1301758
409000611074',,,159645,1801758
409000611074',,,209907,1799478
409000611074',,,850062,1475778
409000611074',,,949854,1471938
409000611074',,,863065,943638
409000611074',,,117086,941118
409000611074',,,764241,509219
409000611074',,,262191,1009219
409000611074',,,575015,1006579
409000611074',,,673932,711579
409000611074',,,663597,1211579
409000611074',,,931210,1211459
409000611074',,,922620,1180759
409000611074',,,998487,1179559
409000611074',,,553365,966334
409000611074',,,718351,1466334
409000611074',,,320701,1461534
409000611074',,,606738,651608
409000611074',,,647595,1151608
409000611074',,,470516,1148968
409000611074',,,212873,713743
409000611074',,,813920,1213743
409000611074',,,357444,1713743
409000611074',,,211905,1709183
409000611074',,,520694,880195
409000611074',,,686425,1380195
409000611074',,,374149,1377075
409000611074',,,425633,929620
409000611074',,,599241,1429620
409000611074',,,296551,1629620
409000611074',,,350248,1629260
409000611074',,,844401,1559460
409000611074',,,103834,1558620
409000611074',,,495384,1437320
409000611074',,,884957,1434320
409000611074',,,134906,929020
409000611074',,,933868,1129020
409000611074',,,439771,1629020
409000611074',,,350841,1624940
409000611074',,,412468,907940
409000611074',,,822810,1107940
409000611074',,,184539,1307940
409000611074',,,386776,1303980
409000611074',,,483367,722080
409000611074',,,418075,922080
409000611074',,,125069,1122080
409000611074',,,364486,1322080
409000611074',,,992916,1522080
409000611074',,,682120,1722080
409000611074',,,493635,1922080
409000611074',,,949190,1918480
409000611074',,,784464,1255130
409000611074',,,349012,1253690
409000611074',,,411381,1117890
409000611074',,,460291,1417890
409000611074',,,777327,1414290
409000611074',,,250222,702191
409000611074',,,397848,1702191
409000611074',,,938597,2002191
409000611074',,,753399,2001351
409000611074',,,679231,1855951
409000611074',,,145638,1854031
409000611074',,,856087,1613496
409000611074',,,671347,1609656
409000611074',,,387629,999556
409000611074',,,992246,1499556
409000611074',,,464005,1496196
409000611074',,,741577,977696
409000611074',,,325589,1277696
409000611074',,,395034,1577696
409000611074',,,972364,1574456
409000611074',,,514224,1132206
409000611074',,,315328,1432206
409000611074',,,338146,1428966
409000611074',,,567990,1039366
409000611074',,,565025,2039366
409000611074',,,844488,2036606
409000611074',,,773820,1578731
409000611074',,,797761,1578131
409000611074',,,287226,1511331
409000611074',,,475789,1509051
409000611074',,,965075,1167651
409000611074',,,159860,1467651
409000611074',,,858599,1464891
409000611074',,,623917,1092541
409000611074',,,188096,1392541
409000611074',,,894612,1391461
409000611074',,,354182,1245961
409000611074',,,371779,1545961
409000611074',,,688528,1545121
409000611074',,,226610,1434571
409000611074',,,535429,1433371
409000611074',,,281300,1212570
409000611074',,,219414,1211010
409000611074',,,195490,941160
409000611074',,,597034,940920
409000611074',,,566264,923420
409000611074',,,319117,1423420
409000611074',,,733120,1419700
409000611074',,,668744,962650
409000611074',,,929055,1262650
409000611074',,,546785,1562650
409000611074',,,402925,1558810
409000611074',,,322086,896785
409000611074',,,372575,1396785
409000611074',,,785968,1393305
409000611074',,,434169,836855
409000611074',,,998511,1336855
409000611074',,,662634,1334575
409000611074',,,874984,997725
409000611074',,,911466,1997725
409000611074',,,748484,1995205
409000611074',,,782332,1644005
409000611074',,,680880,1642685
409000611074',,,119473,1441985
409000611074',,,747096,1441145
409000611074',,,611102,1324885
409000611074',,,496302,1321405
409000611074',,,908642,803750
409000611074',,,773396,1803750
409000611074',,,240546,1800150
409000611074',,,909511,1238155
409000611074',,,595414,1236835
409000611074',,,446451,1024835
409000611074',,,207209,1524835
409000611074',,,642649,1520395
409000611074',,,413854,764890
409000611074',,,694909,1164890
409000611074',,,383251,1160930
409000611074',,,666865,545602
409000611074',,,672804,1045602
409000611074',,,746271,1545602
409000611074',,,228663,1543682
409000611074',,,676582,1280782
409000611074',,,434315,1280422
409000611074',,,783987,1262422
409000611074',,,822591,1662422
409000611074',,,282903,1658222
409000611074',,,932366,1103471
409000611074',,,407861,1503471
409000611074',,,244316,1903471
409000611074',,,919471,1898191
409000611074',,,910332,986191
409000611074',,,719459,984391
409000611074',,,794378,648790
409000611074',,,139707,1048790
409000611074',,,144250,1046390
409000611074',,,203006,708259
409000611074',,,204928,1108259
409000611074',,,246760,1508259
409000611074',,,278558,1506699
409000611074',,,619098,1276399
409000611074',,,120362,1275679
409000611074',,,401845,1204599
409000611074',,,411166,1604599
409000611074',,,161583,1600279
409000611074',,,525714,1081878
409000611074',,,519795,1481878
409000611074',,,955594,1479718
409000611074',,,213133,1225134
409000611074',,,582525,1625134
409000611074',,,913150,1622374
409000611074',,,489368,1271789
409000611074',,,781948,1269509
409000611074',,,662203,909084
409000611074',,,313469,1409084
409000611074',,,448352,1406084
409000611074',,,692166,991983
409000611074',,,671307,1491983
409000611074',,,480877,1490543
409000611074',,,574945,1254243
409000611074',,,594624,1254123
409000611074',,,904010,1244323
409000611074',,,700186,1242403
409000611074',,,255386,1014378
409000611074',,,172120,1514378
409000611074',,,969488,1511498
409000611074',,,663186,1143198
409000611074',,,627448,1140318
409000611074',,,533635,733690
409000611074',,,763699,1233690
409000611074',,,725996,1230930
409000611074',,,988567,853732
409000611074',,,106632,1353732
409000611074',,,584810,1350492
409000611074',,,660834,908742
409000611074',,,459321,906702
409000611074',,,195144,631951
409000611074',,,677772,631591
409000611074',,,431078,569991
409000611074',,,245879,1069991
409000611074',,,455727,1569991
409000611074',,,177648,1565791
409000611074',,,372935,1028015
409000611074',,,949625,2028015
409000611074',,,144753,2022855
409000611074',,,449562,1246278
409000611074',,,645170,1244478
409000611074',,,544575,992453
409000611074',,,982363,989933
409000611074',,,863063,594432
409000611074',,,729658,1594432
409000611074',,,163726,1590712
409000611074',,,965927,1047361
409000611074',,,170864,1547361
409000611074',,,667781,2047361
409000611074',,,851377,2046161
409000611074',,,709833,1823011
409000611074',,,904936,1822891
409000611074',,,798103,1810391
409000611074',,,729470,1806431
409000611074',,,558112,1259757
409000611074',,,951280,1256037
409000611074',,,317542,722985
409000611074',,,198314,1222985
409000611074',,,496691,1220345
409000611074',,,533093,722868
409000611074',,,478514,1222868
409000611074',,,584442,1722868
409000611074',,,662371,1719748
409000611074',,,310737,1216742
409000611074',,,416215,1214942
409000611074',,,570226,959890
409000611074',,,871358,959290
409000611074',,,207730,881040
409000611074',,,265962,880920
409000611074',,,900268,874670
409000611074',,,529614,1374670
409000611074',,,921129,1372390
409000611074',,,997041,1026665
409000611074',,,520087,1526665
409000611074',,,456912,1524145
409000611074',,,179012,1116893
409000611074',,,779341,1115573
409000611074',,,994896,859523
409000611074',,,197483,1359523
409000611074',,,432350,1357483
409000611074',,,413383,1030482
409000611074',,,317856,1028562
409000611074',,,322167,797287
409000611074',,,215748,1297287
409000611074',,,574752,1295247
409000611074',,,596820,961447
409000611074',,,948539,961327
409000611074',,,434441,956327
409000611074',,,887974,1456327
409000611074',,,299797,1452607
409000611074',,,769358,923502
409000611074',,,655045,922302
409000611074',,,289111,697002
409000611074',,,606471,1197002
409000611074',,,711662,1697002
409000611074',,,740799,1693882
409000611074',,,303931,1148480
409000611074',,,621131,1147040
409000611074',,,196128,990727
409000611074',,,279559,989407
409000611074',,,751657,758656
409000611074',,,681029,1258656
409000611074',,,372553,1258176
409000611074',,,769929,1202176
409000611074',,,694103,1199896
409000611074',,,588347,917444
409000611074',,,441007,1417444
409000611074',,,573379,1413364
409000611074',,,814342,883012
409000611074',,,609742,1383012
409000611074',,,565904,1381092
409000611074',,,255731,1066009
409000611074',,,691624,1566009
409000611074',,,892988,1562289
409000611074',,,535043,977338
409000611074',,,904531,1477338
409000611074',,,818832,1473258
409000611074',,,673802,874007
409000611074',,,192662,1374007
409000611074',,,129091,1874007
409000611074',,,801569,1870167
409000611074',,,740756,1139742
409000611074',,,520110,1138302
409000611074',,,606638,964952
409000611074',,,586415,964592
409000611074',,,538879,930092
409000611074',,,306792,1430092
409000611074',,,149828,1424932
409000611074',,,137721,644356
409000611074',,,520610,844356
409000611074',,,500073,1144356
409000611074',,,128421,1344356
409000611074',,,558541,1644356
409000611074',,,310874,1640276
409000611074',,,404194,966648
409000611074',,,525262,1466648
409000611074',,,637950,1465448
409000611074',,,825248,1346248
409000611074',,,597386,1345048
409000611074',,,379965,1195246
409000611074',,,939471,1194766
409000611074',,,649654,1138766
409000611074',,,144393,1137566
409000611074',,,493827,913966
409000611074',,,143567,913846
409000611074',,,853630,903346
409000611074',,,360532,1403346
409000611074',,,431838,1400586
409000611074',,,362368,963908
409000611074',,,979836,1163908
409000611074',,,797687,1161868
409000611074',,,928530,729718
409000611074',,,268290,1229718
409000611074',,,724565,1228398
409000611074',,,839240,1071997
409000611074',,,143809,1070677
409000611074',,,613117,837994
409000611074',,,274855,1037994
409000611074',,,487899,1237994
409000611074',,,410518,1437994
409000611074',,,808388,1436434
409000611074',,,375246,1211634
409000611074',,,722224,1210434
409000611074',,,328124,956184
409000611074',,,580869,952824
409000611074',,,212787,588649
409000611074',,,344267,788649
409000611074',,,749995,1088649
409000611074',,,243642,1086129
409000611074',,,787598,811527
409000611074',,,921904,1011527
409000611074',,,205051,1311527
409000611074',,,831843,1309607
409000611074',,,338721,1070302
409000611074',,,186447,1068622
409000611074',,,440141,875947
409000611074',,,910860,873307
409000611074',,,872477,504056
409000611074',,,789601,1004056
409000611074',,,794304,1001776
409000611074',,,711040,678050
409000611074',,,903214,677210
409000611074',,,146801,548210
409000611074',,,899548,1048210
409000611074',,,548256,1548210
409000611074',,,165057,1543290
409000611074',,,314976,735788
409000611074',,,663379,1235788
409000611074',,,669056,1735788
409000611074',,,592554,1730868
409000611074',,,462829,950842
409000611074',,,453844,949522
409000611074',,,711138,796009
409000611074',,,389893,795409
409000611074',,,982943,692684
409000611074',,,591249,1192684
409000611074',,,766762,1392684
409000611074',,,775116,1592684
409000611074',,,823762,1590644
409000611074',,,904671,1112045
409000611074',,,749864,1111925
409000611074',,,550630,1103925
409000611074',,,640363,1101885
409000611074',,,452047,816959
409000611074',,,371972,1016959
409000611074',,,497931,1014679
409000611074',,,380131,660679
409000611074',,,473208,860679
409000611074',,,210089,1160679
409000611074',,,966107,1460679
409000611074',,,990594,1660679
409000611074',,,855496,1656599
409000611074',,,105741,855723
409000611074',,,935735,1155723
409000611074',,,985741,1153563
409000611074',,,344063,748863
409000611074',,,506588,1048863
409000611074',,,652297,1045863
409000611074',,,990934,465637
409000611074',,,708147,965637
409000611074',,,431382,1265637
409000611074',,,759843,1262637
409000611074',,,621648,679561
409000611074',,,934478,1079561
409000611074',,,284213,1479561
409000611074',,,423946,1479201
409000611074',,,208775,1419501
409000611074',,,149885,1418181
409000611074',,,975181,1210718
409000611074',,,256820,1510718
409000611074',,,236867,1507118
409000611074',,,261678,893943
409000611074',,,381382,1293943
409000611074',,,902944,1693943
409000611074',,,474149,1689983
409000611074',,,595641,1061580
409000611074',,,313116,1059780
409000611074',,,550263,808829
409000611074',,,598678,1108829
409000611074',,,229638,1408829
409000611074',,,145448,1808829
409000611074',,,175969,1808349
409000611074',,,506098,1744749
409000611074',,,988917,1744389
409000611074',,,430592,1694689
409000611074',,,914547,1693129
409000611074',,,485597,1472727
409000611074',,,673751,1470447
409000611074',,,195500,1136347
409000611074',,,681105,1536347
409000611074',,,785825,1531907
409000611074',,,594279,916090
409000611074',,,245131,1216090
409000611074',,,649841,1616090
409000611074',,,803318,1613330
409000611074',,,132875,1105204
409000611074',,,916337,1505204
409000611074',,,392388,1503044
409000611074',,,717710,1176261
409000611074',,,804071,1174461
409000611074',,,437052,926761
409000611074',,,990898,1326761
409000611074',,,924933,1323401
409000611074',,,366186,812698
409000611074',,,663390,1212698
409000611074',,,186183,1212578
409000611074',,,888499,1207578
409000611074',,,820973,1206738
409000611074',,,897222,1071238
409000611074',,,948431,1571238
409000611074',,,514800,1569678
409000611074',,,603456,1324928
409000611074',,,410578,1323008
409000611074',,,120434,1089157
409000611074',,,599794,1589157
409000611074',,,327787,1586397
409000611074',,,878929,1149247
409000611074',,,827823,1146607
409000611074',,,619865,748682
409000611074',,,716488,1248682
409000611074',,,511435,1748682
409000611074',,,852144,1747002
409000611074',,,734594,1518825
409000611074',,,338339,1516665
409000611074',,,484851,1275913
409000611074',,,298251,1275553
409000611074',,,593817,1227553
409000611074',,,228696,1727553
409000611074',,,959467,1722993
409000611074',,,571896,946142
409000611074',,,803809,1446142
409000611074',,,414276,1442782
409000611074',,,831379,1084032
409000611074',,,765323,1584032
409000611074',,,189038,1580672
409000611074',,,781792,984297
409000611074',,,558360,1484297
409000611074',,,761147,1481417
409000611074',,,788175,1061967
409000611074',,,662354,1561967
409000611074',,,679988,1559567
409000611074',,,675429,1136182
409000611074',,,893751,1536182
409000611074',,,694963,1936182
409000611074',,,445884,1935822
409000611074',,,856257,1902273
409000611074',,,694546,1900593
409000611074',,,977447,1611742
409000611074',,,849100,1607302
409000611074',,,822582,944525
409000611074',,,152010,1444525
409000611074',,,353458,1441045
409000611074',,,583188,824095
409000611074',,,738502,1224095
409000611074',,,930829,1220975
409000611074',,,414378,792825
409000611074',,,202700,1292825
409000611074',,,935210,1290185
409000611074',,,945898,864433
409000611074',,,548550,1364433
409000611074',,,376118,1364313
409000611074',,,205125,1344313
409000611074',,,394670,1343353
409000611074',,,681247,1212753
409000611074',,,611302,1209993
409000611074',,,106951,787416
409000611074',,,867429,1287416
409000611074',,,437373,1687416
409000611074',,,331871,1686096
409000611074',,,161817,1512655
409000611074',,,565038,1507975
409000611074',,,550985,815058
409000611074',,,814301,1315058
409000611074',,,613647,1313738
409000611074',,,438672,1062889
409000611074',,,240183,1562889
409000611074',,,208474,1558809
409000611074',,,502962,933331
409000611074',,,348330,1333331
409000611074',,,669141,1332011
409000611074',,,373474,1178511
409000611074',,,398048,1578511
409000611074',,,684933,1578271
409000611074',,,272372,1509571
409000611074',,,481764,1508371
409000611074',,,694541,1307821
409000611074',,,822877,1707821
409000611074',,,736932,1703261
409000611074',,,483084,927184
409000611074',,,995794,1227184
409000611074',,,550743,1527184
409000611074',,,984643,1524784
409000611074',,,207978,1116408
409000611074',,,112357,1516408
409000611074',,,321189,1511248
409000611074',,,113800,684417
409000611074',,,339240,1084417
409000611074',,,551748,1484417
409000611074',,,953881,1481177
409000611074',,,357645,879573
409000611074',,,518326,1279573
409000611074',,,852633,1579573
409000611074',,,431431,1577413
409000611074',,,951113,1359137
409000611074',,,293463,1358897
